word1;word1 definitions;word2;word2 definitions;word1 sound; word2 sound
adt;['теперь, сейчас, в настоящее время'];asst;['досуг, свободное время'];d;ss
adt;['теперь, сейчас, в настоящее время'];oodt;['тж. сказ. новый, нов'];a;oo
adt;['теперь, сейчас, в настоящее время'];eedt;['жир'];a;ee
ajjde;['покрывать / покрыть, заносить / занести, засыпать / засыпать что  (снегом, песком)'];ɨjjde;['ночевать'];a;ɨ
ajjdelle;['покрывать, заносить, засыпать что (снегом, песком - постоянно)'];ɨjjdelle;['ночевать (где-л. - постоянно)'];a;ɨ
ajjdelne;['покрывать, заносить, засыпать что (снегом, песком - иногда, бывало)'];ajjdelse;['Ш покрыть, занести, засыпать что (снегом, песком', 'быстро)'];n;s
ajjdelne;['покрывать, заносить, засыпать что (снегом, песком - иногда, бывало)'];ɨjjdelne;['ночевать (где-л. - иногда, бывало)'];a;ɨ
aajj;['дед'];aak;['самка (дикого оленя, лося)'];jj;k
aajj;['дед'];aal'l';['влага, сырость'];jj;l'l'
aajj;['дед'];aaš'š';['о.ч. III', 'просьба', 'дело', 'надобность, нужда'];jj;š'š'
aajj;['дед'];ɨjj;['ночь ж'];aa;ɨ
aaja;['дедушка (отец отца или матери)'];aaka;['старая женщина, старуха', 'старушка', 'ласк. жёнушка'];j;k
aajjv;['покой, спокойствие, согласие (у кого-л.)'];aajjk;['срок', 'пора'];v;k
aajjv;['покой, спокойствие, согласие (у кого-л.)'];aajjn;['будни мн.'];v;n
aajjv;['покой, спокойствие, согласие (у кого-л.)'];aajjt;['изгородь  (для оленей)'];v;t
aajjv;['покой, спокойствие, согласие (у кого-л.)'];aarrv;[];jj;rr
aajjv;['покой, спокойствие, согласие (у кого-л.)'];aar'r'v;[];jj;r'r'
aajjv;['покой, спокойствие, согласие (у кого-л.)'];iijjv;['белый (о масти оленя)'];aa;ii
aajjv;['покой, спокойствие, согласие (у кого-л.)'];ujjv;['пух'];aa;u
aajjk;['срок', 'пора'];aajjn;['будни мн.'];k;n
aajjk;['срок', 'пора'];aajjt;['изгородь  (для оленей)'];k;t
aajjk;['срок', 'пора'];aar'r'k;['робость, боязливость'];jj;r'r'
aajjn;['будни мн.'];aajjt;['изгородь  (для оленей)'];n;t
aajjne;['предвидеть, предчувствовать, предусмотреть что', 'ждать, ожидать чего'];ujjne;['видеть, замечать кого-что', 'наблюдать, присматривать за кем-чем', 'воображать, представлять себе мысленно'];aa;u
oajnne;['то же, что [b]оайнче'];ujnne;['видеть, замечать кого-что (иногда, бывало)', 'наблюдать, присматривать за кем-чем (иногда, бывало)'];oa;u
aajjt;['изгородь  (для оленей)'];aaјјt;['амбар'];jj;јј
aajjt;['изгородь  (для оленей)'];aallt;['важенка (оленья самка с 4 до 8-10 лет', 'самая сильная и мудрая становится вожаком стада)'];jj;ll
aaјјt;['амбар'];aallt;['важенка (оленья самка с 4 до 8-10 лет', 'самая сильная и мудрая становится вожаком стада)'];јј;ll
aajtne;['нянчить кого', 'успокоить, утихомирить, унять кого'];aajjtne;['успокоиться, утихомириться, уняться (о ком-л.)'];j;jj
aajtne;['нянчить кого', 'успокоить, утихомирить, унять кого'];ujtne;['уходить, удаляться (постоянно', 'иногда, бывало)'];aa;u
aajtnedte;['нянчить кого (в настоящий момент)', 'утихомиривать, унимать, заниматься успокаиванием, успокаивать кого (постоянно', 'иногда, бывало)'];aajtnennte;['успокаиваться (о ком-л.)'];d;nn
ajte;['. почти', 'только', 'только что', 'так и'];an'n'te;['дать, отдать, раздать что, кому', 'уступить кому (дорогу, место)', 'разрешить, позволить, предложить кому (что-л. сделать)'];j;n'n'
aak;['самка (дикого оленя, лося)'];aal'l';['влага, сырость'];k;l'l'
aak;['самка (дикого оленя, лося)'];aaš'š';['о.ч. III', 'просьба', 'дело', 'надобность, нужда'];k;š'š'
al'xahte;['подсинить что'];al'xas's'te;['синеть, виднеться - о синем', 'посинеть, стать синим'];h;s's'
al'xahte;['подсинить что'];al'nahte;[];x;n
al'xas's'te;['синеть, виднеться - о синем', 'посинеть, стать синим'];al'nas's'te;['сделать что-л. более высоким, приподнять что'];x;n
allk;['полено'];al'l'k;[];ll;l'l'
allk;['полено'];as's'k;['колено', 'колени мн.'];ll;s's'
allk;['полено'];oallk;['двор, улица (пространство за пределами жилища)'];a;oa
allk;['полено'];oollk;['перекладина (в вешале, в жилом помещении и т. п.)'];a;oo
allme;['сбрасывать, подбрасывать, опрокидывать кого-что', 'перевёртывать что (вверх дном)'];allne;['то же, что [b]э̄ллнэ'];m;n
aallt;['важенка (оленья самка с 4 до 8-10 лет', 'самая сильная и мудрая становится вожаком стада)'];aalle;['отсыреть, стать сырым, влажным'];t;e
aallt;['важенка (оленья самка с 4 до 8-10 лет', 'самая сильная и мудрая становится вожаком стада)'];oollt;['дальний, далёкий'];aa;oo
aal'l';['влага, сырость'];aaš'š';['о.ч. III', 'просьба', 'дело', 'надобность, нужда'];l'l';š'š'
aallaj;['сказ. сырой, влажный,'];ullaj;['сказ. имеющий густую длинную шерсть'];aa;u
aalljuvve;[];iilljuvve;['протекать, проходить (о жизни)'];aa;ii
aalle;['отсыреть, стать сырым, влажным'];aanne;['просить что'];ll;nn
aalle;['отсыреть, стать сырым, влажным'];eelle;['сказ. высокий, высок'];aa;ee
aalse;['отсыреть, стать сырым, влажным (быстро)'];aam'm'se;['зевать'];l;m'm'
aalse;['отсыреть, стать сырым, влажным (быстро)'];aannse;['заняться чем'];l;nn
aalse;['отсыреть, стать сырым, влажным (быстро)'];aanse;[];l;n
aalse;['отсыреть, стать сырым, влажным (быстро)'];aan'se;['отнять что у кого', 'захватить что у кого', 'взять что в долг'];l;n'
aalse;['отсыреть, стать сырым, влажным (быстро)'];aatse;['застать, застигнуть кого'];l;t
oallše;['считать что сырым, влажным'];oakkše;['топор'];ll;kk
oallše;['считать что сырым, влажным'];oallve;['выть (сильно, громко - о животных)', 'рыдать, плакать (сильно, громко)'];š;v
oallše;['считать что сырым, влажным'];ɨllše;['считать, что где-л. много угля', 'печь, жечь (о ране)'];oa;ɨ
oallše;['считать что сырым, влажным'];eellše;['считать кого-что высоким'];oa;ee
oalne;['становиться сырым, влажным (постоянно', 'иногда, бывало)'];oalče;[];n;č
oalne;['становиться сырым, влажным (постоянно', 'иногда, бывало)'];oannne;['укоротиться, стать короче, непродолжительнее', 'укоротиться, стать короче, ближе'];l;nn
oalne;['становиться сырым, влажным (постоянно', 'иногда, бывало)'];oan'ne;['укоротить, сделать короче что'];l;n'
oalne;['становиться сырым, влажным (постоянно', 'иногда, бывало)'];oazne;['ставить, устанавливать (куваксу - постоянно', 'иногда, бывало)'];l;z
oalne;['становиться сырым, влажным (постоянно', 'иногда, бывало)'];iilne;['жить (где-л. - постоянно', 'иногда, бывало)'];oa;ii
oalče;[];oazče;[];l;z
oalče;[];iilče;[];oa;ii
al'l'k;[];al'l'm;['метель ж, вьюга'];k;m
al'l'k;[];al'l'm;['метель ж, вьюга'];k;m
al'l'k;[];al'l't;['близко, вблизи, недалеко'];k;t
al'l'k;[];as's'k;['колено', 'колени мн.'];l'l';s's'
al'l'm;['метель ж, вьюга'];al'l't;['близко, вблизи, недалеко'];m;t
al'l'm;['метель ж, вьюга'];iil'l'm;['пола', 'пола (в палатке, куваксе)'];a;ii
al'l'm;['метель ж, вьюга'];al'l't;['близко, вблизи, недалеко'];m;t
al'l'm;['метель ж, вьюга'];iil'l'm;['пола', 'пола (в палатке, куваксе)'];a;ii
al'l't;['близко, вблизи, недалеко'];asst;['досуг, свободное время'];l'l';ss
altnelle;['подавать что кому (постоянно)', 'приближать, ускорять что (постоянно)'];avtnelle;['двигать кого-что-л. вперёд (постоянно)'];l;v
altnelne;['подавать что кому (иногда, бывало)'];avtnelne;['двигать кого-что-л. вперёд (иногда, бывало)'];l;v
al'tne;['подать что кому', 'приблизить, ускорить что'];av'tne;['подвинуть кого-что-л. вперёд'];l';v'
eelltne;['приблизиться к кому-чему'];eevvtne;['удалиться, отдалиться от кого-чего'];ll;vv
eelltnennte;['приближаться к кому-чему (постоянно', 'иногда, бывало)'];eevvtnennte;['* становиться передним, передовым, первым, выходить вперёд тж. перен. (постоянно', 'иногда, бывало)'];ll;vv
aal'p;['бабочка'];aar'r'p;['II, 3 шрам, рубец'];l';r'r'
aammpe;['убегать / убежать (о супе, молоке при кипении)', 'заливать / залить что (через край)', 'перен. выходить / выйти из себя'];oammpe;['закрывать (глаза)'];aa;oa
aam'm'se;['зевать'];aannse;['заняться чем'];m'm';nn
aam'm'se;['зевать'];aanse;[];m'm';n
aam'm'se;['зевать'];aan'se;['отнять что у кого', 'захватить что у кого', 'взять что в долг'];m'm';n'
aam'm'se;['зевать'];aatse;['застать, застигнуть кого'];m'm';t
aam'm'sahte;['безл. хотеться зевать'];aam'm'sas's'te;['однокр. [b]зевнуть'];h;s's'
aam'm'selle;['зевать (постоянно)'];aatselle;['заставать, застигать кого (постоянно)'];m'm';t
aam'm'selne;['зевать (иногда, бывало)'];aatselne;['заставать, застигать кого (иногда, бывало)'];m'm';t
aamšuvne;['прям., перен. приходить в себя (постоянно', 'иногда, бывало)'];aamšuvse;[];n;s
eenntle;['давать, отдавать, раздавать что кому (постоянно', 'иногда, бывало)', 'уступать (дорогу, место - постоянно', 'иногда, бывало)', 'разрешать, позволять, предлагать кому (что-л. делать - постоянно', 'иногда, бывало)'];eesstle;['догнать, настичь кого-что (быстро)', 'застать, захватить кого-что', 'успеть (что-л. сделать)'];nn;ss
eenntjuvve;['страд. к [b]аннҍтэ'];eexxtjuvve;['то же, что [b]э̄ххтэ'];nn;xx
entče;['давать, отдавать, раздавать что, кому (постоянно', 'иногда, бывало)', 'разрешать, позволять, предлагать кому (что-л. делать - постоянно', 'иногда, бывало)'];estče;[];n;s
aanne;['просить что'];iinne;['подавать голос, кричать'];aa;ii
aanne;['просить что'];oonne;['носить, нашивать что (постоянно', 'иногда, бывало)', 'держать кого-что (постоянно', 'иногда, бывало)', 'тратить (деньги - постоянно', 'иногда, бывало)'];aa;oo
aannse;['заняться чем'];aanse;[];nn;n
aannse;['заняться чем'];aan'se;['отнять что у кого', 'захватить что у кого', 'взять что в долг'];nn;n'
aannse;['заняться чем'];aatse;['застать, застигнуть кого'];nn;t
aanse;[];aan'se;['отнять что у кого', 'захватить что у кого', 'взять что в долг'];n;n'
aanse;[];aatse;['застать, застигнуть кого'];n;t
aanse;[];iinse;['слышаться, быть слышным - о голосе', 'перен. плакать, голосить'];aa;ii
aan'se;['отнять что у кого', 'захватить что у кого', 'взять что в долг'];aatse;['застать, застигнуть кого'];n';t
aan'se;['отнять что у кого', 'захватить что у кого', 'взять что в долг'];oan'se;['то же, что [b]оаннҍлэ'];aa;oa
oanndedne;['просить разрешения (что-л. делать - постоянно', 'иногда, бывало)'];oanndedte;['просить / попросить разрешения (что-л. сделать)'];n;t
an';['пусть, пускай'];as's';['мездра', 'кожа головы'];n';s's'
aarrv;[];aar'r'v;[];rr;r'r'
aarrvde;['оценить что'];aar'r'vde;['отгадать, разгадать, угадать что'];rr;r'r'
aarrvdelle;['* оценивать что (постоянно)'];aar'r'vdelle;['отгадывать, разгадывать, угадывать что (постоянно)'];rr;r'r'
aarrvdelne;['оценивать что (иногда, бывало)'];aar'r'vdelne;['отгадывать, разгадывать, угадывать что (иногда, бывало)'];rr;r'r'
aar'r'v;[];aar'r'j;['II, 3 весло'];v;j
aar'r'v;[];aar'r'k;['робость, боязливость'];v;k
aar'r'v;[];aar'r'p;['II, 3 шрам, рубец'];v;p
aar'r'j;['II, 3 весло'];aar'r'k;['робость, боязливость'];j;k
aar'r'j;['II, 3 весло'];aar'r'p;['II, 3 шрам, рубец'];j;p
aar'r'k;['робость, боязливость'];aar'r'p;['II, 3 шрам, рубец'];k;p
aar'r'p;['II, 3 шрам, рубец'];ur'r'p;['листопад'];aa;u
asskte;['обнять кого'];oasskte;['убедить кого в чём'];a;oa
assktelle;['обнимать кого (постоянно)'];oassktelle;['убеждать кого в чём (постоянно)'];a;oa
asst;['досуг, свободное время'];oasst;['настой (из коры ольхи и берёзы)'];a;oa
asstluvve;['быть, иметься - о свободном времени', 'завтра я освобожусь'];oasstluvve;[];a;oa
eesste;['догнать, настичь кого-что', 'застать, захватить кого-что', 'успеть (что-л. сделать)'];oasste;['дубить (кожу) в настое (из коры ольхи и берёзы)'];ee;oa
eesste;['догнать, настичь кого-что', 'застать, захватить кого-что', 'успеть (что-л. сделать)'];eevvte;['опередить кого-что'];ss;vv
eesste;['догнать, настичь кого-что', 'застать, захватить кого-что', 'успеть (что-л. сделать)'];eev'v'te;['наперерез'];ss;v'v'
eesste;['догнать, настичь кого-что', 'застать, захватить кого-что', 'успеть (что-л. сделать)'];eexxte;['соединяться / соединиться, сливаться / слиться, сплачиваться / сплотиться', 'объединяться / объединиться, сплачиваться / сплотиться'];ss;xx
eesste;['догнать, настичь кого-что', 'застать, захватить кого-что', 'успеть (что-л. сделать)'];eexxte;['соединяться / соединиться, сливаться / слиться, сплачиваться / сплотиться', 'объединяться / объединиться, сплачиваться / сплотиться'];ss;xx
assne;['стать толще (о мездре)'];allne;['то же, что [b]э̄ллнэ'];ss;ll
assne;['стать толще (о мездре)'];al'ne;['делать / сделать что-л. более высоким', 'поднимать / поднять что-л. выше, приподнимать / приподнять что (от пола)'];ss;l'
oaxxtle;['свежевать кого-что (постоянно, иногда, бывало)'];oasstle;[];xx;ss
bajas;['о ком-чём'];pajas;['вверх', 'кверху, ввысь'];b;p
b'eejjdedte;['добиваться чего', 'перен. биться над чем'];b'eejjdedne;['добиваться чего (постоянно', 'иногда, бывало)', 'перен. биться над чем (постоянно', 'иногда, бывало)'];t;n
b'eejjdedte;['добиваться чего', 'перен. биться над чем'];b'eejjdedse;['добиться чего (быстро)', 'перен. побиться над чем (недолго)'];t;s
b'eejjdedte;['добиваться чего', 'перен. биться над чем'];b'eejjdedče;[];t;č
b'eejjdedne;['добиваться чего (постоянно', 'иногда, бывало)', 'перен. биться над чем (постоянно', 'иногда, бывало)'];b'eejjdedse;['добиться чего (быстро)', 'перен. побиться над чем (недолго)'];n;s
b'eejjdedne;['добиваться чего (постоянно', 'иногда, бывало)', 'перен. биться над чем (постоянно', 'иногда, бывало)'];b'eejjdedče;[];n;č
b'eejjdedse;['добиться чего (быстро)', 'перен. побиться над чем (недолго)'];b'eejjdedče;[];s;č
b'iinnt;[];k'iinnt;['кинтище (место постоянной стоянки жилищ)'];b';k'
b'iinnt;[];m'iinnt;['разбухший (от воды - о деревянных предметах)'];b';m'
b'iinntle;['забинтовать кого-что (быстро)'];b'iinntje;[];l;j
b'iinnte;['бинтовать / забинтовать кого-что'];m'iinnte;['разбухнуть'];b';m'
b'iintne;['бинтовать кого-что (постоянно', 'иногда, бывало)'];b'iintse;['то же, что [b]бӣннтлэ'];n;s
b'iintne;['бинтовать кого-что (постоянно', 'иногда, бывало)'];b'iintxe;[];n;x
b'iintne;['бинтовать кого-что (постоянно', 'иногда, бывало)'];m'iintne;['то же, что [b]мӣнтче'];b';m'
b'iintse;['то же, что [b]бӣннтлэ'];b'iintxe;[];s;x
b'iintxe;[];m'iintxe;[];b';m'
bedse;['потребоваться, понадобиться кому'];bedte;['. неужели', 'разве', 'как, словно', 'что'];s;t
vaav'v'l;['русло', 'перен. направление, путь м (развития и т. п.)'];naav'v'l;['гвоздь м'];v;n
vagk;['страх, ужас'];vaagk;['вьючное седло, ташка (крестообразная перекладина, нижние концы которой стягиваются ремнями под животом оленя, на верхние её концы подвешивают кладь)'];a;aa
vagkše;['испытывать страх перед кем-чем, приходить в ужас от кого-чего, бояться кого-чего'];vuegkše;['считать густошёрстным (напр. оленя)', 'на малицу берутся лёгкие шкуры от оленей, забитых осенью)'];a;ue
vaagk;['вьючное седло, ташка (крестообразная перекладина, нижние концы которой стягиваются ремнями под животом оленя, на верхние её концы подвешивают кладь)'];paagk;['упрямство', 'настойчивость, упорство'];v;p
vaagk;['вьючное седло, ташка (крестообразная перекладина, нижние концы которой стягиваются ремнями под животом оленя, на верхние её концы подвешивают кладь)'];saagk;['ножовка'];v;s
vaadt;['леса, леска'];vaallt;['свобода, воля'];d;ll
vaadt;['леса, леска'];vaasst;['веник'];d;ss
vaadt;['леса, леска'];vuadt;['берлога'];aa;ua
vaadt;['леса, леска'];vuedt;['подошва, подмётка', 'основание горы', 'плоскогорье', 'дно (сосуда и т. п.)'];aa;ue
vaadt;['леса, леска'];vɨdt;['. пять'];aa;ɨ
vaadt;['леса, леска'];maadt;['червь м, червяк'];v;m
vaadt;['леса, леска'];maadt;['червь м, червяк'];v;m
vaadt;['леса, леска'];raadt;['туша (животного)'];v;r
vaadt;['леса, леска'];taadt;['этот (о предмете, расположенном близко от говорящего)'];v;t
vadte;['драить / надраить что (песком)'];vadse;['то же, что [b]вадтлэ'];t;s
vadte;['драить / надраить что (песком)'];val̥l̥te;['жадно есть / съесть, жрать / сожрать (чаще о животных)'];d;l̥l̥
vadte;['драить / надраить что (песком)'];vasste;['бить, избивать/избить кого', 'выбивать/выбить, выколачивать/ выколотить что', 'ударить кого-что (быстро)', 'выбить, выколотить что (быстро)', 'побить кого (немного - быстро)', 'повыбивать, повыколачивать что (немного - быстро)'];d;ss
vadte;['драить / надраить что (песком)'];voodte;['водить кого, помогать кому идти', 'водить (машину и т. п.)'];a;oo
vadte;['драить / надраить что (песком)'];vuedte;['спать', 'перен. спать, бездействовать'];a;ue
vadte;['драить / надраить что (песком)'];ɲ'adte;['прикреплять / прикрепить что (нитками в отдельных местах)', 'пришивать / пришить (пуговицы)'];v;ɲ'
vadse;['то же, что [b]вадтлэ'];vuedse;['поспать (немного)'];a;ue
vadtle;['надраить что (песком - быстро)', 'драить что (песком - немного, недолго)', 'перен. отстегать кого (быстро)'];val̥l̥tle;['сожрать что (быстро)', 'пожрать чего (немного)'];d;l̥l̥
vadtle;['надраить что (песком - быстро)', 'драить что (песком - немного, недолго)', 'перен. отстегать кого (быстро)'];voodtle;['сводить кого (куда-л. - быстро)', 'поводить что, поуправлять чем (немного)'];a;oo
vadtle;['надраить что (песком - быстро)', 'драить что (песком - немного, недолго)', 'перен. отстегать кого (быстро)'];vuedtle;['то же, что [b]вуэдҍсэ'];a;ue
vadtle;['надраить что (песком - быстро)', 'драить что (песком - немного, недолго)', 'перен. отстегать кого (быстро)'];ɲ'adtle;['прикрепить что (нитками), пришить (пуговицы - быстро)'];v;ɲ'
vedne;['драить что (песком - постоянно', 'иногда, бывало)', 'перен. бить кого (постоянно', 'иногда, бывало)'];vedče;[];n;č
vedne;['драить что (песком - постоянно', 'иногда, бывало)', 'перен. бить кого (постоянно', 'иногда, бывало)'];voodne;['водить кого, помогать кому идти (постоянно', 'иногда, бывало)', 'водить (машину и т. п. - постоянно', 'иногда, бывало)'];e;oo
veedtje;[];vuadtje;['лечь спать', 'уснуть, заснуть'];ee;ua
veedtje;[];veedz'je;['появиться в большом количестве - о снеге'];t;z'
veedtje;[];jeedtje;['страд. к [b]е̄дтэ'];v;j
veedtje;[];ɲ'eedtje;[];v;ɲ'
veedtje;[];p'eedtje;['стать тупым, затупиться'];v;p'
veedtje;[];r'eedtje;['безл. начать колоть'];v;r'
veedtje;[];reedtje;[];v;r
vedče;[];voodče;[];e;oo
vedče;[];vuudče;['спать (постоянно', 'иногда, бывало)'];e;uu
vaaž';['важенка (трёхгодовалая оленья самка после первого отёла)'];vaal'l';['сокол'];ž';l'l'
vaaž';['важенка (трёхгодовалая оленья самка после первого отёла)'];vaan'n';['мало, немного'];ž';n'n'
